,DebtToIncomeRatio,count
0,0.18,4132
1,0.22,3687
2,0.17,3616
3,0.14,3553
4,0.2,3481
5,0.16,3442
6,0.19,3392
7,0.15,3338
8,0.21,3226
9,0.13,3169
10,0.24,2952
11,0.23,2882
12,0.25,2873
13,0.12,2799
14,0.26,2789
15,0.11,2726
16,0.27,2722
17,0.28,2598
18,0.29,2348
19,0.3,2348
20,0.1,2326
21,0.08,2230
22,0.31,2179
23,0.32,2073
24,0.09,1964
25,0.33,1902
26,0.35,1812
27,0.34,1810
28,0.07,1759
29,0.06,1523
30,0.36,1523
31,0.37,1399
32,0.38,1364
33,0.05,1304
34,0.39,1226
35,0.4,1109
36,0.04,1063
37,0.41,995
38,0.42,893
39,0.03,879
40,0.43,851
41,0.44,753
42,0.45,697
43,0.46,634
44,0.47,617
45,0.02,606
46,0.48,524
47,0.49,470
48,0.5,447
49,0.51,431
50,0.52,372
51,0.54,341
52,0.53,320
53,0.55,279
54,10.01,272
55,0.01,250
56,0.56,244
57,0.57,229
58,0.59,182
59,0.58,166
60,0.6,149
61,0.61,140
62,0.62,120
63,0.63,108
64,0.65,105
65,0.64,91
66,0.66,78
67,0.67,77
68,0.68,72
69,0.71,67
70,0.7,64
71,0.69,58
72,0.72,58
73,0.75,51
74,0.73,43
75,0.76,43
76,0.74,40
77,0.78,38
78,0.77,35
79,0.86,29
80,0.87,29
81,0.81,27
82,0.85,27
83,0.84,27
84,0.79,26
85,0.83,26
86,0.8,24
87,0.88,22
88,0.82,22
89,0.89,22
90,0.9,20
92,0.94,19
93,0.96,19
94,0.91,19
95,0.97,18
96,0.92,15
97,0.93,14
98,1.0,14
99,0.98,13
100,0.99,13
101,1.02,12
102,0.95,11
103,1.06,11
104,1.05,11
105,1.01,11
106,1.07,11
107,1.03,10
108,1.21,10
109,1.19,10
110,1.12,8
111,1.16,8
112,1.04,8
113,1.27,7
114,1.08,7
115,1.1,7
116,1.22,6
117,1.15,6
118,1.49,6
119,1.14,6
120,1.18,6
121,1.25,5
122,1.56,5
123,1.2,5
124,1.31,5
125,1.36,4
126,1.24,4
127,1.09,4
128,1.11,4
129,1.32,4
130,1.54,4
131,1.47,4
132,2.2,4
133,1.42,3
134,1.41,3
135,1.34,3
136,1.39,3
137,2.72,3
138,1.13,3
139,1.45,3
140,1.79,3
141,2.3,3
142,1.87,3
143,1.46,3
144,1.81,3
145,1.6,3
146,1.29,3
147,1.99,3
148,1.89,3
149,2.38,3
150,3.49,3
151,3.92,3
152,1.75,3
153,2.45,3
154,1.65,2
155,3.81,2
156,1.93,2
157,1.28,2
158,3.23,2
159,3.64,2
160,2.95,2
161,1.5,2
162,0.05069,2
163,1.58,2
164,2.6,2
165,1.23,2
166,1.37,2
167,1.26,2
168,2.79,2
169,1.51,2
170,1.98,2
171,1.55,2
172,0.12203,2
173,5.56,2
174,1.3,2
175,2.99,2
176,1.57,2
177,1.17,2
178,7.27,2
179,5.36,2
180,0.10252,2
181,4.71,2
182,1.8,2
183,2.19,2
184,3.27,2
185,1.61,2
186,3.53,2
187,1.94,2
188,4.4,2
189,3.73,2
190,1.38,2
191,0.028189999999999996,2
192,1.82,2
193,2.02,2
194,2.1,2
195,4.43,2
196,1.72,2
197,2.07,2
198,1.52,2
199,4.9,2
200,1.74,2
201,0.07841000000000001,2
202,2.34,2
203,2.65,2
204,2.5,2
205,0.061560000000000004,1
206,0.36330999999999997,1
207,0.11915999999999999,1
208,0.02755,1
209,0.18002,1
210,0.10155,1
211,0.12133,1
212,0.048839999999999995,1
213,0.16022999999999998,1
214,0.03948,1
215,0.034339999999999996,1
216,0.23963,1
217,9.44,1
218,0.08245,1
219,0.15197,1
220,0.254,1
221,0.03036,1
222,0.21628000000000003,1
223,1.7,1
224,0.11650999999999999,1
225,0.15374000000000002,1
226,4.76,1
227,0.09636,1
228,0.12524000000000002,1
229,0.3172,1
230,0.08671,1
231,0.01923,1
232,0.08286,1
233,0.28848,1
234,0.27965999999999996,1
235,0.055779999999999996,1
236,0.03358,1
237,0.28301,1
238,0.03244,1
239,0.06277999999999999,1
240,0.04066,1
241,0.17954,1
242,0.19496,1
243,0.01986,1
244,0.07015,1
245,7.22,1
246,0.19445,1
247,0.10507999999999999,1
248,0.09802000000000001,1
249,1.96,1
250,0.29764,1
251,0.05948,1
252,0.17548,1
253,6.05,1
254,0.18183,1
255,2.22,1
256,0.05761,1
257,3.68,1
258,0.17385,1
259,0.14961,1
260,0.0133,1
261,0.18017,1
262,0.13502,1
263,0.19988,1
264,0.09811,1
265,0.15874000000000002,1
266,0.17929,1
267,0.0607,1
268,0.23613,1
269,0.33348,1
270,0.11119000000000001,1
271,0.19212,1
272,0.09265,1
273,0.11027,1
274,0.04081,1
275,0.07751,1
276,0.19669,1
277,0.054229999999999993,1
278,4.15,1
279,0.08244,1
280,0.07706,1
281,0.059739999999999994,1
282,0.19974,1
283,0.20495,1
284,0.29661,1
285,0.50872,1
286,0.14885,1
287,0.13495,1
288,3.86,1
289,0.23113000000000003,1
290,0.19801,1
291,0.05952,1
292,0.17557999999999999,1
293,0.03662,1
294,0.15778,1
295,0.1107,1
296,0.09317,1
297,0.17765,1
298,0.065,1
299,0.29079,1
300,0.14262,1
301,0.0412,1
302,0.08383,1
303,0.13213,1
304,1.64,1
305,0.07337,1
306,0.01877,1
307,0.14422000000000001,1
308,4.37,1
309,3.77,1
310,5.16,1
311,0.08087000000000001,1
312,0.09601,1
313,0.14673,1
314,0.10947,1
315,0.54433,1
316,0.27385,1
317,0.0611,1
318,0.09179,1
319,0.04575,1
320,3.66,1
321,0.14411,1
322,1.76,1
323,0.14114000000000002,1
324,0.19088,1
325,0.20008,1
326,0.07195,1
327,1.59,1
328,0.18119000000000002,1
329,0.26234,1
330,0.01876,1
331,0.42972,1
332,0.01115,1
333,0.19487000000000002,1
334,4.14,1
335,0.07445,1
336,0.07937999999999999,1
337,1.69,1
338,0.19166,1
339,0.05025,1
340,0.025910000000000002,1
341,0.1333,1
342,0.08118,1
343,0.13864,1
344,0.17192000000000002,1
345,0.12749000000000002,1
346,0.03826,1
347,0.11689000000000001,1
348,0.20477,1
349,0.08335,1
350,7.42,1
351,0.02727,1
352,0.125,1
353,0.24911,1
354,1.85,1
355,0.1844,1
356,0.05824,1
357,0.10280999999999998,1
358,0.30609000000000003,1
359,0.12792,1
360,5.65,1
361,0.19729000000000002,1
362,0.02376,1
363,0.12025999999999999,1
364,0.03235,1
365,0.03136,1
366,0.01459,1
367,0.0647,1
368,0.19605,1
369,0.19134,1
370,0.0392,1
371,0.17652,1
372,0.3108,1
373,0.07442,1
374,0.0446,1
375,0.15086,1
376,0.06341000000000001,1
377,0.20360999999999999,1
378,2.67,1
379,0.10361,1
380,0.19035,1
381,5.34,1
382,0.1685,1
383,0.24934,1
